episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
231,11600,101.4,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
232,11650,101.8,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
233,11700,102.2,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
234,11750,102.6,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
235,11800,103.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
236,11850,103.4,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
237,11900,103.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
238,11950,104.2,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
239,12000,104.6,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
240,12050,105.0,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
241,12100,105.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
242,12150,106.1,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
243,12200,106.5,rainbow_cnn_dqn,,3.9,,50,0,,,,,,,,,,,
244,12250,106.9,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
245,12300,107.3,rainbow_cnn_dqn,,3.3,,50,0,,,,,,,,,,,
246,12350,107.6,rainbow_cnn_dqn,,-8.1,,50,0,,,,,,,,,,,
247,12400,108.0,rainbow_cnn_dqn,,0.9,,50,0,,,,,,,,,,,
248,12450,108.4,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
249,12500,108.8,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
250,12550,109.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
251,12600,110.1,rainbow_cnn_dqn,,3.9,,50,0,,,,,,,,,,,
252,12650,110.5,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
253,12700,110.9,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
254,12750,111.3,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
255,12800,111.7,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
256,12850,112.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
257,12900,112.4,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
258,12950,112.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
259,13000,113.2,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
260,13050,113.6,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
