number,state,value,batch_size,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init,v_max
130,PRUNED,7.885999999999991,64,0.00047295870585616225,5,2000,0.6104654265255237,0.3897794117787126,0.3020709383694577,20.0
131,PRUNED,44.98399999999967,32,0.0002957585041376853,3,1000,0.6572777089953324,0.345826885855443,0.4298044276069355,20.0
132,PRUNED,38.690999999999946,32,0.00029701044035239263,3,1000,0.6826480051840952,0.353806678459886,0.44399761148778666,20.0
133,PRUNED,7.9619999999999935,32,0.000375181539030051,5,2000,0.5060018764310672,0.3051352465539343,0.342469264956387,20.0
134,COMPLETE,2.0000000000000013,32,0.00023687466184457373,3,2000,0.6860640821894672,0.30842786844807674,0.5588848497591479,30.0
135,COMPLETE,9.024999999999984,128,3.087018562309892e-05,1,2000,0.5819510485017032,0.32235389125947617,0.3497380264606554,30.0
136,PRUNED,7.015999999999991,64,0.00012126434548218787,5,8000,0.5970234244745307,0.45308625493352483,0.5615712579029757,20.0
137,COMPLETE,2.0000000000000013,32,0.000376001550259891,3,2000,0.6117858280457801,0.37351740782895104,0.5147835935089113,30.0
138,PRUNED,11.623000000000006,64,0.00021851352729170372,5,500,0.6714927056508214,0.32811078363987134,0.449991111880106,20.0
139,PRUNED,29.86899999999998,64,0.00010964053773158562,5,500,0.6260098883598562,0.3087723833486298,0.42512355097703813,20.0
140,PRUNED,13.18200000000001,32,0.00034725620858956483,5,500,0.6721453588498186,0.36800848084714716,0.4378596067565593,15.0
141,COMPLETE,2.0000000000000013,64,0.00010966777673570885,3,2000,0.6432206365792735,0.32485988365908963,0.3368418298710747,30.0
142,COMPLETE,18.05000000000001,32,0.0003528788951128617,3,8000,0.6893807762313624,0.3451192631090953,0.4345261341099309,15.0
143,PRUNED,6.030999999999993,128,3.9616172047401236e-05,1,2000,0.5245640004900625,0.32794420636646504,0.3488324742603595,30.0
144,COMPLETE,15.499999999999975,128,2.83351134841269e-05,1,2000,0.5116072714032415,0.37912919349250873,0.3753391557928586,30.0
145,PRUNED,5.726999999999993,32,0.00022209249734845993,5,8000,0.6365226786085819,0.31247957565360873,0.37497193912736304,20.0
146,PRUNED,4.489999999999996,128,8.195050942878914e-05,1,2000,0.675943568020694,0.3213994631692332,0.4150186999075187,20.0
147,PRUNED,5.947999999999999,64,0.00047900325511783087,3,8000,0.6255775179019024,0.4153585628863008,0.3942804337742708,15.0
148,COMPLETE,2.0000000000000013,64,4.402736010009281e-05,5,500,0.6242486031524079,0.33645143218117496,0.43970757372096725,15.0
149,PRUNED,3.9349999999999965,128,1.5599077971547066e-05,1,2000,0.5708264761963868,0.3184409755858175,0.4544757569800042,20.0
150,PRUNED,34.79899999999993,32,0.0003271158845973433,3,8000,0.6283904230303223,0.3768016614689168,0.41278628910977533,15.0
151,COMPLETE,2.0000000000000013,128,3.780712496244386e-05,3,2000,0.5752987388599881,0.34292280689837606,0.41697355855866824,30.0
152,COMPLETE,28.800000000000132,64,4.660031698979862e-05,5,8000,0.603082234411236,0.3231470363547717,0.48201812797793353,30.0
153,PRUNED,7.2669999999999915,64,0.00040386540465622915,1,2000,0.6476651446934913,0.30631142443497483,0.45655661826007876,30.0
154,PRUNED,10.982999999999997,128,7.254380795918469e-05,5,2000,0.48053981566054615,0.32195856294154807,0.4142521187192973,30.0
155,PRUNED,5.787999999999998,32,0.0003213351356730905,3,8000,0.5171323218319918,0.3026294792302939,0.3215757751776262,20.0
156,PRUNED,2.9699999999999984,128,2.6066225227433672e-05,1,8000,0.5943551574895718,0.36932722586534156,0.3794004187108193,30.0
157,PRUNED,4.206999999999997,128,1.1116008075811324e-05,1,2000,0.5800326355618192,0.37602842353866034,0.3121536854303195,30.0
158,PRUNED,4.826999999999996,128,1.951993081123746e-05,1,2000,0.6627348932246049,0.3023043975597146,0.336420717992325,30.0
159,PRUNED,5.119999999999996,128,4.102562772868024e-05,1,2000,0.4402196648101169,0.4320264961631496,0.36863855334174356,30.0
160,PRUNED,16.486000000000047,128,0.0003182355497837555,3,8000,0.6232612755548641,0.3019604287911112,0.41802765383375934,15.0
161,PRUNED,2.747,128,1.6786010857113516e-05,1,2000,0.4779010851658422,0.32375014178420675,0.38256995064757826,15.0
162,PRUNED,3.8059999999999974,32,0.00021857598368509374,1,2000,0.6754964670241919,0.372059493193044,0.3916404701616581,15.0
