number,state,value,batch_size,hidden_dim,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init
71,COMPLETE,25.200000000000085,32,512,9.578049997409051e-05,5,2000,0.44637792371628543,0.5802854799018806,0.6086958025937445
72,PRUNED,51.66299999999968,32,256,0.0005233426951981668,5,500,0.5368748523451112,0.5252240774762307,0.6778610426348048
73,COMPLETE,6.7249999999999925,128,256,0.00019410471836666667,3,8000,0.48171937586631464,0.5219036748219776,0.5413157067572018
74,PRUNED,11.307999999999998,128,256,0.00013110374807187846,5,2000,0.5968567170060991,0.5669952376639699,0.6123972919254401
75,PRUNED,22.224000000000014,32,256,0.0003680557149548335,5,2000,0.3954432437221478,0.5659868985675882,0.6470096746750131
76,PRUNED,134.4370000000015,64,256,0.0002443749396281514,5,500,0.5090130737668894,0.3367532151715324,0.42048202340693025
77,PRUNED,89.51599999999999,64,256,0.0006594802087222444,3,500,0.6034352562574523,0.4122795629790564,0.40099866842063187
78,PRUNED,83.86999999999948,64,256,0.0007198481769403045,3,500,0.6822279637329478,0.36528026458513,0.43249563993713075
79,PRUNED,108.1760000000001,64,256,0.0004157419704140037,3,500,0.5584519668378587,0.30539429452863803,0.3878511621480598
80,PRUNED,10.011999999999997,64,256,0.00013594261137497732,3,500,0.5904512194535216,0.44206852519525747,0.4488902620368364
81,PRUNED,70.1389999999992,128,512,0.0006763629278900208,5,1000,0.37781893352005935,0.5320852187150463,0.6268336889569551
82,PRUNED,12.593000000000002,64,256,0.00011556377414550258,3,500,0.5267207974198356,0.3060817238083871,0.44239892007514126
83,COMPLETE,97.34999999999894,32,256,0.00027811446673159796,5,2000,0.6037930485474183,0.5971756918323872,0.6251296754021768
84,PRUNED,-6.755999999999999,32,256,3.3960422713991896e-05,5,2000,0.5688950562149893,0.5961634922262002,0.6610002548678238
85,PRUNED,24.89400000000007,32,256,0.00015390370435457325,3,500,0.6360725170775909,0.30485678805728617,0.34795678162525595
86,COMPLETE,56.30000000000039,32,256,8.598849333165782e-05,5,1000,0.654737060257897,0.3544338702765673,0.32978321096873
87,PRUNED,366.6319999999737,64,512,0.0002884688878462495,3,1000,0.41802658037921475,0.5013266949042855,0.5844590091179735
88,PRUNED,55.22099999999959,128,512,0.0004518553825283407,5,2000,0.36328527182941434,0.5960490010520195,0.6734118306706802
89,COMPLETE,4.4999999999999964,128,512,0.00012643714408813598,3,8000,0.4488684250478184,0.58798653993336,0.5378863160955795
90,PRUNED,90.84199999999878,64,512,0.00017716861314466843,5,2000,0.5370514431732215,0.5840727621268775,0.5915046224533191
91,COMPLETE,4.1999999999999975,32,256,2.835347152741419e-05,5,500,0.6003673401285284,0.3649261446586557,0.4305996620318389
