number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
45,PRUNED,37.42699999999991,0.1,0.028074056506644247,0.9765916407933316,512,0.0009970192963158835,256,4,4096,0.6493833174616686
46,COMPLETE,229.899999999993,0.1,0.02966048919814039,0.9844346840892922,512,0.00016988988862869211,256,4,4096,0.4202246310557022
47,PRUNED,7.951999999999989,0.1,0.031831090196204406,0.9782206810546344,256,0.0006996289884402014,256,10,8192,0.6301167912371228
48,PRUNED,86.7789999999998,0.3,0.012279959110413134,0.9519668145908666,512,0.00015280328550379074,128,4,4096,0.8815983517488352
49,PRUNED,6.962999999999991,0.2,0.028409688056584646,0.9882745618945219,512,0.0007674070398757683,256,4,4096,0.47397305796113265
50,COMPLETE,248.3749999999967,0.1,0.02627675512300268,0.9661279571632206,512,0.0004090910592953219,256,4,4096,0.49553267765173453
51,PRUNED,6.64299999999999,0.1,0.026114563734470745,0.9776753398260275,512,0.00044498780260334423,128,4,4096,0.4250810614893827
52,COMPLETE,8.399999999999986,0.2,0.006599396309691854,0.9118044898059998,256,0.0002758113371456434,256,4,4096,0.6171521119639035
53,COMPLETE,1720.4249999996305,0.3,0.00806587386651125,0.9245163018652195,256,0.00025472711698144434,128,4,4096,0.6290911136032067
54,PRUNED,73.55100000000162,0.3,0.007099298813709217,0.9132917249076979,256,0.0005034188822240831,256,4,4096,0.8855393520333373
55,COMPLETE,249.69999999999214,0.3,0.007668941505947494,0.920022118243268,256,0.0003757792496242271,256,4,4096,0.5926477602793433
56,PRUNED,4.308999999999997,0.3,0.006332682308566956,0.9052484325135441,256,0.00047419474646115926,256,10,4096,0.7790666688586687
57,COMPLETE,10.99999999999998,0.3,0.0051236943044482095,0.9093343816463092,256,0.00027267669697422173,256,4,4096,0.5102573304335599
58,COMPLETE,8.399999999999986,0.1,0.0064815405886787065,0.9404964256187361,256,6.799570849869593e-05,128,10,4096,0.4471801386187507
59,COMPLETE,6.299999999999994,0.1,0.008373999802164196,0.9286920404518817,256,5.33823232958112e-05,256,10,4096,0.706996331428814
60,PRUNED,58.54499999999949,0.2,0.007935142597619693,0.9652012273975275,256,3.271721350838424e-05,128,10,4096,0.42878042788653137
